,data,30,60,90,180,360,1800,3600,10800
0,2017-02-01,-7.17,7.36,-1.12,0.54,2.45,3.9,5.87,12.94
1,2017-02-02,-7.17,7.36,5.6,3.89,2.45,4.19,6.07,13.04
2,2017-02-03,-7.17,3.23,2.81,2.44,2.45,4.19,5.99,13.11
3,2017-02-04,-7.17,3.23,2.81,2.44,2.45,4.19,5.99,13.11
4,2017-02-05,-7.17,3.23,2.81,2.44,2.45,4.19,5.99,13.11
5,2017-02-06,2.94,2.41,2.81,2.44,2.28,3.88,5.9,13.11
6,2017-02-07,0.2,2.41,1.25,2.44,2.05,3.8,5.83,12.85
7,2017-02-08,8.33,2.41,3.98,3.03,2.05,3.93,5.9,12.95
8,2017-02-09,8.33,1.85,1.86,1.97,2.05,3.92,5.86,13.1
9,2017-02-10,8.33,3.47,2.94,2.52,2.42,3.92,5.93,13.0
10,2017-02-11,8.33,3.47,2.94,2.52,2.42,3.92,5.93,13.0
11,2017-02-12,8.33,3.47,2.94,2.52,2.42,3.92,5.93,13.0
12,2017-02-13,3.27,3.47,2.94,2.52,2.29,3.96,5.89,13.0
13,2017-02-14,9.5,3.47,4.46,2.52,2.8,4.09,5.97,13.04
14,2017-02-15,17.93,3.47,7.29,4.62,2.8,4.26,5.97,12.96
15,2017-02-16,17.93,2.34,2.21,2.07,2.8,3.97,5.87,12.92
16,2017-02-17,17.93,-5.96,-3.34,-0.73,2.8,3.97,5.58,12.5
17,2017-02-18,17.93,-5.96,-3.34,-0.73,2.8,3.97,5.58,12.5
18,2017-02-19,17.93,-5.96,-3.34,-0.73,2.8,3.97,5.58,12.5
19,2017-02-20,4.95,-5.96,-3.34,-0.73,2.37,3.94,5.79,12.5
20,2017-02-21,1.51,-5.96,1.77,-0.73,2.1,3.88,5.76,12.74
21,2017-02-22,9.56,-5.96,4.46,3.2,2.1,4.04,5.76,12.64
22,2017-02-23,9.56,6.61,5.05,3.49,2.1,4.03,5.82,12.84
23,2017-02-24,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
24,2017-02-25,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
25,2017-02-26,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
26,2017-02-27,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
27,2017-02-28,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
28,2017-03-01,9.56,-6.73,-3.85,-0.95,0.68,4.03,5.49,12.55
29,2017-03-02,9.56,-6.73,-3.51,-0.76,0.68,3.69,5.59,12.68
30,2017-03-03,9.56,1.33,1.57,1.81,2.1,3.69,5.82,12.83
31,2017-03-04,9.56,1.33,1.57,1.81,2.1,3.69,5.82,12.83
32,2017-03-05,9.56,1.33,1.57,1.81,2.1,3.69,5.82,12.83
33,2017-03-06,7.95,5.01,1.57,1.81,2.7,4.03,5.84,12.83
34,2017-03-07,0.02,5.01,1.29,1.81,2.01,3.82,5.69,12.65
35,2017-03-08,-13.21,5.01,-3.14,-0.56,2.01,3.68,5.64,12.77
36,2017-03-09,-13.21,-5.62,-3.08,-0.51,2.01,3.76,5.69,12.85
37,2017-03-10,-13.21,7.41,5.61,3.81,3.1,3.76,6.0,12.93
38,2017-03-11,-13.21,7.41,5.61,3.81,3.1,3.76,6.0,12.93
39,2017-03-12,-13.21,7.41,5.61,3.81,3.1,3.76,6.0,12.93
40,2017-03-13,6.56,4.27,5.61,3.81,2.59,4.12,5.92,12.93
41,2017-03-14,-7.86,4.27,-1.41,3.81,1.34,3.87,5.75,12.94
42,2017-03-15,-7.86,4.27,8.86,5.45,1.34,4.39,6.06,12.98
43,2017-03-16,-7.86,11.9,8.61,5.33,1.34,4.39,6.04,12.97
44,2017-03-17,-7.86,3.5,8.61,2.5,2.43,4.39,5.76,12.74
45,2017-03-18,-7.86,3.5,8.61,2.5,2.43,4.39,5.76,12.74
46,2017-03-19,-7.86,3.5,8.61,2.5,2.43,4.39,5.76,12.74
47,2017-03-20,15.33,8.74,8.61,2.5,3.27,4.09,5.79,12.74
48,2017-03-21,4.06,8.74,2.56,2.5,2.29,3.87,5.63,12.52
49,2017-03-22,4.06,8.74,0.05,0.97,2.29,3.72,5.52,12.55
50,2017-03-23,4.06,-4.24,-2.28,-0.2,2.29,3.59,5.45,12.25
51,2017-03-24,4.06,5.14,3.95,2.91,2.58,3.59,5.7,12.44
52,2017-03-25,4.06,5.14,3.95,2.91,2.58,3.59,5.7,12.44
53,2017-03-26,4.06,5.14,3.95,2.91,2.58,3.59,5.7,12.44
54,2017-03-27,-0.04,0.96,3.95,2.91,1.89,3.59,5.61,12.44
55,2017-03-28,-1.39,0.96,0.69,2.91,1.86,3.86,5.62,12.53
56,2017-03-29,6.63,0.96,3.33,2.68,1.86,3.95,5.66,12.56
57,2017-03-30,6.63,-0.04,0.5,1.26,1.86,3.79,5.66,12.42
58,2017-03-31,6.63,1.12,1.29,1.61,1.97,3.79,5.66,12.55
59,2017-04-01,6.63,1.12,1.29,1.61,1.97,3.79,5.66,12.55
60,2017-04-02,6.63,1.12,1.29,1.61,1.97,3.79,5.66,12.55
61,2017-04-03,23.5,12.73,1.29,1.61,3.9,4.25,5.9,12.55
62,2017-04-04,8.95,12.73,4.12,1.61,3.9,4.0,5.75,12.53
63,2017-04-05,14.59,12.73,6.05,4.01,3.9,4.11,5.82,12.82
64,2017-04-06,14.59,-6.93,-4.07,-1.02,3.9,3.6,5.53,12.6
65,2017-04-07,14.59,-4.73,-2.58,-0.24,1.06,3.6,5.59,12.51
66,2017-04-08,14.59,-4.73,-2.58,-0.24,1.06,3.6,5.59,12.51
67,2017-04-09,14.59,-4.73,-2.58,-0.24,1.06,3.6,5.59,12.51
