,data,30,60,90,180,360,1800,3600,10800
0,2017-02-01,21.58,4.11,13.58,10.95,8.01,6.86,5.97,5.37
1,2017-02-02,21.58,4.11,5.74,7.19,8.01,6.5,5.72,5.23
2,2017-02-03,21.58,8.65,8.87,8.79,8.01,6.5,5.62,5.06
3,2017-02-04,21.58,8.65,8.87,8.79,8.01,6.5,5.62,5.06
4,2017-02-05,21.58,8.65,8.87,8.79,8.01,6.5,5.62,5.06
5,2017-02-06,9.19,9.64,8.87,8.79,8.19,6.64,5.66,5.06
6,2017-02-07,12.33,9.64,10.62,8.79,8.4,6.64,5.64,5.01
7,2017-02-08,3.13,9.64,7.42,8.01,8.4,6.48,5.49,4.82
8,2017-02-09,3.13,10.09,9.84,9.14,8.4,6.45,5.51,4.88
9,2017-02-10,3.13,8.21,8.55,8.51,7.86,6.45,5.42,4.8
10,2017-02-11,3.13,8.21,8.55,8.51,7.86,6.45,5.42,4.8
11,2017-02-12,3.13,8.21,8.55,8.51,7.86,6.45,5.42,4.8
12,2017-02-13,8.62,8.21,8.55,8.51,8.0,6.36,5.46,4.8
13,2017-02-14,1.75,8.21,6.77,8.51,7.44,6.25,5.42,4.85
14,2017-02-15,-6.82,8.21,3.59,6.15,7.44,6.07,5.42,4.82
15,2017-02-16,-6.82,9.3,9.27,8.93,7.44,6.43,5.54,4.93
16,2017-02-17,-6.82,19.52,15.93,12.05,7.44,6.43,5.69,4.98
17,2017-02-18,-6.82,19.52,15.93,12.05,7.44,6.43,5.69,4.98
18,2017-02-19,-6.82,19.52,15.93,12.05,7.44,6.43,5.69,4.98
19,2017-02-20,6.53,19.52,15.93,12.05,7.77,6.38,5.53,4.98
20,2017-02-21,10.4,19.52,9.69,12.05,7.99,6.39,5.5,4.82
21,2017-02-22,1.46,19.52,6.59,7.49,7.99,6.23,5.5,4.83
22,2017-02-23,1.46,4.12,5.92,7.11,7.99,6.1,5.31,4.59
23,2017-02-24,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
24,2017-02-25,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
25,2017-02-26,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
26,2017-02-27,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
27,2017-02-28,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
28,2017-03-01,1.46,20.65,16.45,12.09,9.43,6.1,5.61,4.73
29,2017-03-02,1.46,20.65,15.83,11.8,9.43,6.56,5.64,4.92
30,2017-03-03,1.46,10.32,9.88,8.87,7.74,6.56,5.37,4.77
31,2017-03-04,1.46,10.32,9.88,8.87,7.74,6.56,5.37,4.77
32,2017-03-05,1.46,10.32,9.88,8.87,7.74,6.56,5.37,4.77
33,2017-03-06,3.92,6.28,9.88,8.87,7.07,6.07,5.33,4.77
34,2017-03-07,12.05,6.28,10.14,8.87,7.82,6.31,5.45,4.8
35,2017-03-08,27.19,6.28,15.28,11.5,7.82,6.54,5.6,4.89
36,2017-03-09,27.19,18.83,15.19,11.43,7.82,6.55,5.64,4.95
37,2017-03-10,27.19,3.25,5.25,6.54,6.46,6.55,5.25,4.75
38,2017-03-11,27.19,3.25,5.25,6.54,6.46,6.55,5.25,4.75
39,2017-03-12,27.19,3.25,5.25,6.54,6.46,6.55,5.25,4.75
40,2017-03-13,5.18,6.95,5.25,6.54,6.99,5.98,5.28,4.75
41,2017-03-14,20.69,6.95,13.07,6.54,8.38,6.36,5.54,4.92
42,2017-03-15,20.69,6.95,1.75,4.7,8.38,5.77,5.19,4.78
43,2017-03-16,20.69,-1.64,1.98,4.81,8.38,5.81,5.22,4.8
44,2017-03-17,20.69,7.53,1.98,7.82,7.13,5.81,5.41,4.84
45,2017-03-18,20.69,7.53,1.98,7.82,7.13,5.81,5.41,4.84
46,2017-03-19,20.69,7.53,1.98,7.82,7.13,5.81,5.41,4.84
47,2017-03-20,-3.94,2.11,1.98,7.82,6.24,6.06,5.39,4.84
48,2017-03-21,7.38,2.11,8.33,7.82,7.24,6.21,5.46,4.87
49,2017-03-22,7.38,2.11,11.18,9.42,7.24,6.41,5.61,4.94
50,2017-03-23,7.38,16.77,13.93,10.73,7.24,6.54,5.66,5.01
51,2017-03-24,7.38,5.53,6.67,7.2,6.84,6.54,5.32,4.8
52,2017-03-25,7.38,5.53,6.67,7.2,6.84,6.54,5.32,4.8
53,2017-03-26,7.38,5.53,6.67,7.2,6.84,6.54,5.32,4.8
54,2017-03-27,11.77,10.36,6.67,7.2,7.55,6.54,5.38,4.8
55,2017-03-28,13.34,10.36,10.27,7.2,7.59,6.2,5.44,4.86
56,2017-03-29,4.17,10.36,7.24,7.34,7.59,6.08,5.38,4.82
57,2017-03-30,4.17,11.44,10.45,8.92,7.59,6.21,5.38,4.84
58,2017-03-31,4.17,10.03,9.49,8.52,7.48,6.21,5.38,4.75
59,2017-04-01,4.17,10.03,9.49,8.52,7.48,6.21,5.38,4.75
60,2017-04-02,4.17,10.03,9.49,8.52,7.48,6.21,5.38,4.75
61,2017-04-03,-13.74,-2.17,9.49,8.52,5.41,5.75,5.13,4.75
62,2017-04-04,1.05,-2.17,6.25,8.52,5.41,5.93,5.19,4.64
63,2017-04-05,-5.05,-2.17,4.11,5.78,5.41,5.88,5.21,4.64
64,2017-04-06,-5.05,19.88,15.74,11.35,5.41,6.51,5.56,4.84
65,2017-04-07,-5.05,16.99,13.87,10.42,8.39,6.51,5.45,4.85
66,2017-04-08,-5.05,16.99,13.87,10.42,8.39,6.51,5.45,4.85
67,2017-04-09,-5.05,16.99,13.87,10.42,8.39,6.51,5.45,4.85
68,2017-04-10,11.57,10.0,13.87,10.42,7.21,6.03,5.26,4.85
69,2017-04-11,5.22,10.0,7.32,10.42,6.71,6.0,5.31,4.76
70,2017-04-12,14.74,10.0,10.3,8.64,6.71,6.25,5.48,4.87
71,2017-04-13,14.74,7.83,7.92,7.51,6.71,6.29,5.57,4.96
72,2017-04-14,14.74,7.83,7.92,7.51,6.71,6.29,5.57,4.96
73,2017-04-15,14.74,7.83,7.92,7.51,6.71,6.29,5.57,4.96
74,2017-04-16,14.74,7.83,7.92,7.51,6.71,6.29,5.57,4.96
75,2017-04-17,-1.83,3.52,7.92,7.51,6.3,6.2,5.53,4.96
76,2017-04-18,11.94,3.52,9.53,7.51,7.3,6.4,5.63,4.97
77,2017-04-19,29.65,3.52,14.87,10.8,7.3,6.76,5.86,5.11
78,2017-04-20,29.65,14.75,12.2,9.53,7.3,6.67,5.84,5.06
79,2017-04-21,29.65,14.75,12.2,9.53,7.3,6.67,5.84,5.06
80,2017-04-22,29.65,14.75,12.2,9.53,7.3,6.67,5.84,5.06
81,2017-04-23,29.65,14.75,12.2,9.53,7.3,6.67,5.84,5.06
82,2017-04-24,2.95,5.71,12.2,9.53,6.54,6.38,5.7,5.06
83,2017-04-25,21.59,5.71,12.59,9.53,8.12,6.87,6.06,5.3
84,2017-04-26,19.92,5.71,12.13,9.57,8.12,6.85,6.08,5.32
85,2017-04-27,19.92,7.26,7.47,7.23,8.12,6.63,5.99,5.29
86,2017-04-28,19.92,8.88,8.49,7.7,7.05,6.63,5.93,5.22
87,2017-04-29,19.92,8.88,8.49,7.7,7.05,6.63,5.93,5.22
88,2017-04-30,19.92,8.88,8.49,7.7,7.05,6.63,5.93,5.22
89,2017-05-01,19.92,8.88,8.49,7.7,7.05,6.63,5.93,5.22
90,2017-05-02,-8.46,8.88,1.94,7.7,5.38,6.23,5.71,5.08
91,2017-05-03,0.32,8.88,5.18,6.0,5.38,6.42,5.82,5.4
92,2017-05-04,0.32,16.92,13.51,10.17,5.38,6.89,6.04,5.48
93,2017-05-05,0.32,8.26,8.01,7.46,7.0,6.89,5.8,5.33
94,2017-05-06,0.32,8.26,8.01,7.46,7.0,6.89,5.8,5.33
95,2017-05-07,0.32,8.26,8.01,7.46,7.0,6.89,5.8,5.33
96,2017-05-08,16.96,12.63,8.01,7.46,7.73,6.72,5.9,5.33
97,2017-05-09,5.72,12.63,7.17,7.46,6.75,6.46,5.77,5.3
98,2017-05-10,-0.53,12.63,4.86,5.8,6.75,6.25,5.63,5.21
99,2017-05-11,-0.53,6.51,6.84,6.77,6.75,6.25,5.66,5.2
100,2017-05-12,-0.53,1.6,3.61,5.08,5.57,6.25,5.57,5.13
101,2017-05-13,-0.53,1.6,3.61,5.08,5.57,6.25,5.57,5.13
102,2017-05-14,-0.53,1.6,3.61,5.08,5.57,6.25,5.57,5.13
103,2017-05-15,-1.81,2.82,3.61,5.08,5.65,6.07,5.52,5.13
104,2017-05-16,-1.81,2.82,7.39,5.08,6.38,6.13,5.48,5.02
105,2017-05-17,22.61,2.82,12.37,9.32,6.38,6.13,5.48,5.16
106,2017-05-18,22.61,67.38,43.53,24.38,6.38,9.42,8.03,7.06
107,2017-05-19,22.61,-13.3,-6.5,24.38,3.17,9.42,6.8,6.56
108,2017-05-20,22.61,-13.3,-6.5,24.38,3.17,9.42,6.8,6.56
109,2017-05-21,22.61,-13.3,-6.5,24.38,3.17,9.42,6.8,6.56
110,2017-05-22,6.57,7.27,-6.5,24.38,6.96,8.08,7.44,6.56
111,2017-05-23,0.88,7.27,5.43,24.38,6.31,7.47,6.96,6.59
112,2017-05-24,9.33,7.27,8.32,7.58,6.31,7.21,6.52,6.11
113,2017-05-25,9.33,13.5,11.48,9.12,6.31,7.31,6.55,6.13
114,2017-05-26,9.33,3.22,4.8,5.64,5.88,7.31,6.33,6.04
115,2017-05-27,9.33,3.22,4.8,5.64,5.88,7.31,6.33,6.04
116,2017-05-28,9.33,3.22,4.8,5.64,5.88,7.31,6.33,6.04
117,2017-05-29,12.17,10.0,4.8,5.64,6.92,6.96,6.32,6.04
118,2017-05-30,4.53,10.0,6.8,5.64,6.45,6.91,6.28,6.01
